Player	Position	Team	Money
Patrick Beverley	PG	LAC	40
Mario Hezonja	SF	POR	3.6
Bobby Portis	PF	NYK	31
D'Angelo Russell	PG	GSW	117
Klay Thompson	SG	GSW	190
Ed Davis	C	UTA	10
DeAndre Jordan	C	BKN	40
Jimmy Butler	SF	MIA	142
Al Horford	C	PHI	109
Taj Gibson	PF	NYK	20
George Hill	PG	MIL	29
Julius Randle	PF	NYK	63
DeMarre Carroll	PF	SAS	13
Mike Scott	PF	PHI	9.8
Tobias Harris	PF	PHI	180
Rodney Hood	SG	POR	16
Thomas Bryant	C	WAS	25
Jeremy Lamb	SG	IND	31.5
Ricky Rubio	PG	PHX	51
Malcolm Brogdon	SG	IND	85
Bojan Bogdanovic	SF	UTA	73
Khris Middleton	SF	MIL	178
Danuel House Jr.	SF	HOU	11.1
Al-Farouq Aminu	PF	ORL	29
Terry Rozier	PG	CHA	58
Trevor Ariza	SF	SAC	25
Nicolo Melli	PF	NOP	8
Garrett Temple	SG	BKN	10
Terrence Ross	SG	ORL	54
Kyrie Irving	PG	BKN	142
Kristaps Porzingis	PF	DAL	158
Jonas Valanciunas	C	MEM	45
Derrick Rose	PG	DET	15
Harrison Barnes	PF	SAC	85
Nikola Vucevic	C	ORL	100
Kemba Walker	PG	BOS	141
Dewayne Dedmon	C	SAC	41
JJ Redick	SG	NOP	26.5
Rudy Gay	SF	SAS	16
Kevin Durant	SF	BKN	164
Brook Lopez	C	MIL	52
Reggie Bullock	SG	NYK	21
Thaddeus Young	PF	CHI	41
Robin Lopez	C	MIL	9.2
