Year	Rd	Pk	Tm	Player
1976	1	1	HOU	John Lucas
1976	1	2	CHI	Scott May
1976	1	3	KCK	Richard Washington
1976	1	4	DET	Leon Douglas
1976	1	5	POR	Wally Walker
1976	1	6	BUF	Adrian Dantley
1976	1	7	MIL	Quinn Buckner
1976	1	8	GSW	Robert Parish
1976	1	9	ATL	Armond Hill
1976	1	10	PHO	Ron Lee
1976	1	11	SEA	Bob Wilkerson
1976	1	12	PHI	Terry Furlow
1976	1	13	WSB	Mitch Kupchak
1976	1	14	WSB	Larry Wright
1976	1	15	CLE	Chuckie Williams
1976	1	16	BOS	Norm Cook
1976	1	17	GSW	Sonny Parker
1976	2	18	CHI	Willie Smith
1976	2	19	SEA	Bayard Forrest
1976	2	20	POR	Major Jones
1976	2	21	LAL	Earl Tatum
1976	2	22	POR	Johnny Davis
1976	2	23	MIL	Alex English
1976	2	24	MIL	Scott Lloyd
1976	2	25	NYK	Lonnie Shelton
1976	2	26	NOJ	Jacky Dorsey
1976	2	27	HOU	Phil Hicks
1976	2	28	ATL	Bob Carrington
1976	2	29	SEA	Dennis Johnson
1976	2	30	PHO	Al Fleming
1976	2	31	WSB	Joe Pace
1976	2	32	CLE	Mo Howard
1976	2	33	PHO	Butch Feher
1976	2	34	GSW	Marshall Rogers
1976	3	35	CHI	Dallas Smith
1976	3	36	LAL	Mike Dabney
1976	3	37	CHI	Lars Hansen
1976	3	38	DET	Phil Sellers
1976	3	39	POR	Jeff Tyson
1976	3	40	MIL	Lloyd Walton
1976	3	41	NYK	John McGill
1976	3	42	NOJ	Steve Copp
1976	3	43	LAL	Tom Abernethy
1976	3	44	HOU	Barnes Hauptfuhrer
1976	3	45	PHO	Ira Terrell
1976	3	46	ATL	Larry Cooke
1976	3	47	PHI	Ron Norwood
1976	3	48	BUF	Gary Brewster
1976	3	49	WSB	Bill Cook
1976	3	50	CLE	Gary Cole
1977	1	1	MIL	Kent Benson
1977	1	2	KCK	Otis Birdsong
1977	1	3	MIL	Marques Johnson
1977	1	4	WSB	Greg Ballard
1977	1	5	PHO	Walter Davis
1977	1	6	LAL	Kenny Carr
1977	1	7	NJN	Bernard King
1977	1	8	SEA	Jack Sikma
1977	1	9	DEN	Tom LaGarde
1977	1	10	NYK	Ray Williams
1977	1	11	MIL	Ernie Grunfeld
1977	1	12	BOS	Cedric Maxwell
1977	1	13	CHI	Tate Armstrong
1977	1	14	ATL	Tree Rollins
1977	1	15	LAL	Brad Davis
1977	1	16	GSW	Rickey Green
1977	1	17	WSB	Bo Ellis
1977	1	18	GSW	Wesley Cox
1977	1	19	POR	Rich Laurel
1977	1	20	PHI	Glenn Mosley
1977	1	21	DEN	Anthony Roberts
1977	1	22	LAL	Norm Nixon
1977	2	23	CHI	Mike Glenn
1977	2	24	BUF	Larry Johnson
1977	2	25	PHI	Wilson Washington
1977	2	26	NYK	Glen Gondrezick
1977	2	27	MIL	Glenn Williams
1977	2	28	POR	Kim Anderson
1977	2	29	IND	Alonzo Bradley
1977	2	30	CHI	Steve Sheppard
1977	2	31	KCK	Eddie Owens
1977	2	32	NYK	Toby Knight
1977	2	33	CLE	Eddie Jordan
1977	2	34	HOU	Larry Moffett
1977	2	35	CHI	Mark Landsberger
1977	2	36	DET	Ben Poquette
1977	2	37	SAS	Jeff Wilkins
1977	2	38	GSW	Ricky Love
1977	2	39	WSB	Phil Walker
1977	2	40	HOU	Robert Reid
1977	2	41	POR	T.R. Dunn
1977	2	42	PHI	Bob Elliott
1977	2	43	PHI	Herm Harris
1977	2	44	NOJ	Essie Hollis
1977	3	45	KCK	Bill Paterno
1977	3	46	LAL	James Edwards
1977	3	47	MIL	Gary Yoder
1977	3	48	ATL	Sam Smith
1977	3	49	ATL	Eddie Johnson1
1977	3	50	NOJ	Tony Hanson
1978	1	1	POR	Mychal Thompson
1978	1	2	KCK	Phil Ford
1978	1	3	IND	Rick Robey
1978	1	4	NYK	Micheal Ray Richardson
1978	1	5	GSW	Purvis Short
1978	1	6	BOS	Larry Bird
1978	1	7	POR	Ron Brewer
1978	1	8	BOS	Freeman Williams
1978	1	9	CHI	Reggie Theus
1978	1	10	ATL	Butch Lee
1978	1	11	NOJ	James Hardy
1978	1	12	MIL	George Johnson2
1978	1	13	NJN	Winford Boynes
1978	1	14	WSB	Roger Phegley
1978	1	15	CLE	Mike Mitchell
1978	1	16	ATL	Jack Givens
1978	1	17	DEN	Rod Griffin
1978	1	18	WSB	Dave Corzine
1978	1	19	PHO	Marty Byrnes
1978	1	20	SAS	Frankie Sanders
1978	1	21	DEN	Mike Evans
1978	1	22	GSW	Raymond Townsend
1978	2	23	DET	Terry Tyler
1978	2	24	POR	Keith Herron
1978	2	25	ATL	Rick Wilson
1978	2	26	LAL	Ron Carter
1978	2	27	IND	Wayne Radford
1978	2	28	HOU	Buster Matheney
1978	2	29	DET	John Long
1978	2	30	BOS	Jeff Judkins
1978	2	31	CHI	Marvin Johnson
1978	2	32	NYK	John Rudd
1978	2	33	CLE	Harry Davis
1978	2	34	NYK	Greg Bunch
1978	2	35	NOJ	Tommie Green
1978	2	36	PHI	Maurice Cheeks
1978	2	37	WSB	Terry Sykes
1978	2	38	LAL	Lew Massey
1978	2	39	SEA	James Lee
1978	2	40	GSW	Wayne Cooper
1978	2	41	SDC	Jerome Whitehead
1978	2	42	SEA	Kevin McDonald
1978	2	43	PHI	Glenn Hagan
1978	2	44	POR	Clemon Johnson
1978	3	45	NJN	Mike Phillips
1978	3	46	DEN	Hollis Copeland
1978	3	47	HOU	Billy Ray Bates
1978	3	48	SDC	Mike Santos
1978	3	49	KCK	Jeff Cook
1978	3	50	BOS	Dana Skinner
1979	1	1	LAL	Magic Johnson
1979	1	2	CHI	Dave Greenwood
1979	1	3	NYK	Bill Cartwright
1979	1	4	DET	Greg Kelser
1979	1	5	MIL	Sidney Moncrief
1979	1	6	SEA	James Bailey
1979	1	7	SEA	Vinnie Johnson
1979	1	8	NJN	Calvin Natt
1979	1	9	NYK	Larry Demic
1979	1	10	DET	Roy Hamilton
1979	1	11	NJN	Cliff Robinson
1979	1	12	POR	Jim Paxson
1979	1	13	IND	Dudley Bradley
1979	1	14	LAL	Brad Holland
1979	1	15	DET	Phil Hubbard
