Year	Player
1978	Del Beshore
1978	Mike Davis
1978	Rock Lee
1978	Myles Patrick
1978	Sam Pellom
1978	Jim Zoet
1979	Norman Black
1979	Alan Hardy
1979	Bill Mayfield
1980	Jim Brogan
1981	Jerome Henderson
1981	Ron Cavenall
1985	David Cooke
1985	Dennis Nutt
1985	Joao Vianna
1986	Rob Rose
1986	Andre Spencer
1986	Kelvin Upshaw
1986	Stojko Vrankovic
1987	Randy Allen
1987	Sergei Bazarevich
1987	Scott Brooks
1987	Mike Champion
1987	Tom Copa
1987	Radisav Curcic
1987	Cedric Hunter
1987	Mark Wade
1987	David Wood
1987	A.J. Wynder
1988	Lloyd Daniels
1988	Wayne Englestad
1988	Duane Ferrell
1988	Ben Gillery
1988	Henry James
1988	Avery Johnson
1988	Bill Jones
1988	Tim Legler
1988	Carlton McKinney
1988	Tracy Moore
1988	Richard Morton
1988	Zarko Paspalj
1988	Ramon Rivas
1988	John Starks
1988	Henry Turner
1988	Gary Voce
1988	Kennard Winchester
1989	Raymond Brown
1989	Torgeir Bryn
1989	Steve Bucknall
1989	Adrian Caldwell
1989	Chris Childs
1989	Lanard Copeland
1989	Terry Davis
1989	Tony Dawson
1989	Byron Dinkins
1989	Aleksandar Djordjevic
1989	Terry Dozier
1989	Andrew Gaze
1989	Paul Graham
1989	Alvin Heggs
1989	Mike Higgins
1989	Tom Hovasse
1989	Mark Hughes
1989	Jaren Jackson
1989	Eric Johnson
1989	Thomas Jordan
1989	Stan Kimbrough
1989	Jeff Lebo
1989	Clifford Lett
1989	Mel McCants
1989	Charles Smith2
1989	Jay Taylor
1989	Leonard Taylor
1989	Gundars Vetra
1989	Howard Wright
1990	Keith Askins
1990	Cedric Ball
1990	David Benoit
1990	Mark Bradtke
1990	Matt Bullard
1990	Rick Calloway
1990	Richard Coffey
1990	Marty Conlon
1990	Michael Curry
1990	Dan Godfread
1990	Andres Guibert
1990	Tony Harris
1990	Skeeter Henry
1990	Brian Howard
1990	Kurk Lee
1990	Ian Lockhart
1990	Tharon Mayes
1990	Chris Munk
1990	Melvin Newbern
1990	Dan OSullivan
1990	Alan Ogg
1990	Anthony Pullard
1990	Eldridge Recasner
1990	Larry Robinson
1990	Irving Thomas
1990	Stephen Thompson
1990	Andy Toolson
1990	Scott Williams
1991	Darrell Armstrong
1991	James Blackwell
1991	Walter Bond
1991	Demetrius Calip
1991	John Crotty
1991	Emanual Davis
1991	Patrick Eddie
1991	Vincenzo Esposito
1991	Tony Farmer
1991	Jay Guidinger
1991	Reggie Hanson
1991	Jerome Harmon
1991	Keith Jennings
1991	Reggie Jordan
1991	Cedric Lewis
1991	Keith Owens
1991	Robert Pack
1991	Larry Stewart
