Player,"Tm","Year","WS","VORP"
Zaid Abdul-Aziz,"BUF",1976,0.3,-0.2
Kareem Abdul-Jabbar,"LAL",1976,17.8,9.7
Tom Abernethy,"LAL",1976,3.1,0.5
Alvan Adams,"PHO",1976,6.3,4.4
Don Adams,"BUF",1976,1.6,0.1
Lucius Allen,"LAL",1976,4.9,1.4
Jerome Anderson,"IND",1976,0.1,-0.2
Tiny Archibald,"NYN",1976,2.8,1.4
Jim Ard,"BOS",1976,0.8,-0.6
Bird Averitt,"BUF",1976,-1.1,-1.6
Dennis Awtrey,"PHO",1976,2.1,0
Mike Bantom,"TOT",1976,4.8,1.2
Tom Barker,"ATL",1976,1,-0.4
Marvin Barnes,"DET",1976,1.3,-0.3
Jim Barnett,"PHI",1976,0.1,-0.3
Norton Barnhill,"SEA",1976,0,0
Mike Barr,"KCK",1976,1.4,-0.3
Rick Barry,"GSW",1976,8.4,3.7
Tim Bassett,"NYN",1976,1.5,-0.6
Butch Beard,"NYK",1976,2,0.7
Byron Beck,"DEN",1976,0.8,-0.3
Ron Behagen,"NOJ",1976,1.8,0.1
Mel Bennett,"IND",1976,0.1,-0.3
Henry Bibby,"PHI",1976,4.1,0.3
Bob Bigelow,"KCK",1976,0.4,-0.1
Dave Bing,"WSB",1976,2.9,0.8
Tom Boerwinkle,"CHI",1976,2.3,0.9
Ron Boone,"KCK",1976,8.1,2.5
Tom Boswell,"BOS",1976,2.4,0.6
Freddie Boyd,"NOJ",1976,2.1,-0.1
Bill Bradley,"NYK",1976,0.8,-0.4
Jim Brewer,"CLE",1976,5.8,2.9
Junior Bridgeman,"MIL",1976,3.6,0.5
Allan Bristow,"SAS",1976,4.3,1.1
Gary Brokaw,"TOT",1976,1.6,-0.2
Fred Brown,"SEA",1976,6.1,1.5
John Brown,"ATL",1976,1.7,0.1
Roger Brown,"DET",1976,0.2,-0.1
Joe Bryant,"PHI",1976,1.2,0
Quinn Buckner,"MIL",1976,1.5,1.8
Ticky Burden,"NYK",1976,0,-0.2
Tom Burleson,"SEA",1976,4.4,1.1
Don Buse,"IND",1976,4.7,1.9
Corky Calhoun,"POR",1976,1.3,-0.3
Mack Calvin,"TOT",1976,2.8,-0.3
Austin Carr,"CLE",1976,5.3,1
M.L. Carr,"DET",1976,5.9,2.9
Fred Carter,"TOT",1976,0.4,-0.6
Cornelius Cash,"DET",1976,0,-0.1
Harvey Catchings,"PHI",1976,1.7,0.2
Don Chaney,"LAL",1976,2.9,1.3
Ken Charles,"ATL",1976,2.3,0.3
Phil Chenier,"WSB",1976,5.8,1.5
Jim Chones,"CLE",1976,5.9,0.6
Jim Cleamons,"CLE",1976,3.8,1.6
E.C. Coleman,"NOJ",1976,3.2,-0.1
Doug Collins,"PHI",1976,6.2,1.5
Norm Cook,"BOS",1976,-0.1,-0.2
Dave Cowens,"BOS",1976,4.4,2.6
Mike DAntoni,"SAS",1976,0,0
Louie Dampier,"SAS",1976,1.2,-1.5
Bob Dandridge,"MIL",1976,5.4,2.4
Mel Daniels,"NYN",1976,0,-0.1
Adrian Dantley,"BUF",1976,9.8,3.2
Dwight Davis,"GSW",1976,0.6,-0.2
Johnny Davis,"POR",1976,2.5,-0.4
Mel Davis,"TOT",1976,-0.4,-0.9
Mickey Davis,"MIL",1976,0.4,0
Ron Davis,"ATL",1976,-0.4,-0.2
Darryl Dawkins,"PHI",1976,2.1,0.2
Randy Denton,"ATL",1976,0.4,-0.4
Henry Dickerson,"ATL",1976,0,-0.1
Derrek Dickey,"GSW",1976,1.7,0
Coby Dietrick,"SAS",1976,2.3,0.4
Ernie DiGregorio,"BUF",1976,1.3,-1.1
Leon Douglas,"DET",1976,2.1,0.1
John Drew,"ATL",1976,7.9,2.9
Charles Dudley,"GSW",1976,4,1.7
Mike Dunleavy,"PHI",1976,0.2,-0.3
Jim Eakins,"KCK",1976,3.6,0.8
Al Eberhard,"DET",1976,1.8,-0.1
Len Elmore,"IND",1976,0,0
Darrell Elston,"IND",1976,-0.2,-0.1
Alex English,"MIL",1976,1.2,-0.3
Keith Erickson,"PHO",1976,1.4,-0.1
Julius Erving,"PHI",1976,11.5,5.1
Butch Feher,"PHO",1976,1.5,0
Eric Fernsten,"CHI",1976,0,0
Mike Flynn,"IND",1976,1.7,0
Chris Ford,"DET",1976,4.7,2.2
Don Ford,"LAL",1976,2.8,0
Fred Foster,"BUF",1976,-0.2,-0.9
Jim Fox,"NYN",1976,2.4,-0.4
Walt Frazier,"NYK",1976,6.1,2.7
World B. Free,"PHI",1976,4.6,0.6
Terry Furlow,"PHI",1976,0,-0.2
Mike Gale,"SAS",1976,4,1.8
Rowland Garrett,"TOT",1976,0.8,-0.4
Gus Gerard,"TOT",1976,1.3,0.3
George Gervin,"SAS",1976,10.5,4
John Gianelli,"TOT",1976,2.5,-0.3
Herm Gilliam,"POR",1976,2.5,-0.4
Artis Gilmore,"CHI",1976,12.2,5.1
Gail Goodrich,"NOJ",1976,1.2,0
Leonard Gray,"TOT",1976,1.8,0
Mike Green,"SEA",1976,3.9,1
Steve Green,"IND",1976,1.1,-0.4
Kevin Grevey,"WSB",1976,0.7,-1
Paul Griffin,"NOJ",1976,4.1,1.8
Bob Gross,"POR",1976,7.4,3.2
Rudy Hackett,"TOT",1976,0,-0.1
Glenn Hansen,"KCK",1976,0.4,0
John Havlicek,"BOS",1976,6.1,2
Steve Hawes,"ATL",1976,1.9,0.5
Bubbles Hawkins,"NYN",1976,1.9,0.5
Elvin Hayes,"WSB",1976,12.1,4.6
Spencer Haywood,"NYK",1976,2.1,0
Gar Heard,"PHO",1976,1.7,0.2
Tom Henderson,"TOT",1976,4.7,1.5
Phil Hicks,"TOT",1976,0.5,0
Armond Hill,"ATL",1976,0.8,-0.2
Darnell Hillman,"IND",1976,3.8,1.2
Wilbur Holland,"CHI",1976,5.9,1.9
Lionel Hollins,"POR",1976,4,1.3
Mo Howard,"TOT",1976,0.6,0.1
Lou Hudson,"ATL",1976,2.7,0.1
Kim Hughes,"NYN",1976,2.3,1
Dan Issel,"DEN",1976,10.9,3.2
Phil Jackson,"NYK",1976,0.9,0.1
Aaron James,"NOJ",1976,2.1,-0.3
Charles Johnson,"GSW",1976,1.4,-0.5
Dennis Johnson,"SEA",1976,4.5,2.3
George Johnson1,"TOT",1976,3.5,1.2
John Johnson,"HOU",1976,2.3,0.1
Mickey Johnson,"CHI",1976,8.5,3.1
Ollie Johnson,"KCK",1976,2.9,0.1
Bobby Jones,"DEN",1976,11,6
Caldwell Jones,"PHI",1976,4.4,1
Dwight Jones,"HOU",1976,2.6,0.2
Jimmy Jones,"WSB",1976,-0.1,-0.1
Rich Jones,"NYN",1976,0.6,-0.3
Robin Jones,"POR",1976,2.2,0.4
Wil Jones,"IND",1976,3.7,0.8
George Karl,"SAS",1976,-0.2,-0.3
Rich Kelley,"NOJ",1976,4.3,2.6
Goo Kennedy,"HOU",1976,0.3,-0.2
Larry Kenon,"SAS",1976,9.5,3.7
Billy Knight,"IND",1976,10.7,4
Tom Kropp,"CHI",1976,0.7,-0.2
Steve Kuberski,"BOS",1976,1.1,-0.8
Kevin Kunnert,"HOU",1976,4.1,1.7
Mitch Kupchak,"WSB",1976,5.9,1.2
C.J. Kupec,"LAL",1976,1.5,-0.5
Sam Lacey,"KCK",1976,5.6,3.7
Bo Lamar,"LAL",1976,0.5,-0.7
John Lambert,"CLE",1976,1,0
Bob Lanier,"DET",1976,10.3,4.8
John Laskowski,"CHI",1976,0.4,-0.5
Mo Layton,"NYK",1976,1.1,-0.2
Ron Lee,"PHO",1976,2.8,2
Freddie Lewis,"IND",1976,0.5,-0.4
Scott Lloyd,"MIL",1976,1.3,-0.6
Bob Love,"TOT",1976,1,-1.1
John Lucas,"HOU",1976,4.8,1.7
Maurice Lucas,"POR",1976,8.7,2.7
Moses Malone,"TOT",1976,8.7,3
Pete Maravich,"NOJ",1976,6.4,2.9
Jack Marin,"CHI",1976,1.3,-0.7
Scott May,"CHI",1976,5.4,0.8
Clyde Mayes,"TOT",1976,-0.1,-0.1
Bob McAdoo,"TOT",1976,9.6,3.8
Andre McCarter,"KCK",1976,0.8,-0.5
Ted McClain,"DEN",1976,2.7,0.4
Paul McCracken,"CHI",1976,0,0
Glenn McDonald,"MIL",1976,-0.2,-0.1
Jim McElroy,"NOJ",1976,3.5,0.1
George McGinnis,"PHI",1976,8.6,4.5
Tom McMillen,"TOT",1976,2.5,-0.7
Jim McMillian,"NYK",1976,2.6,0
Larry McNeill,"TOT",1976,0.7,-0.1
Dean Meminger,"NYK",1976,0.2,-0.1
John Mengelt,"CHI",1976,2.3,-0.3
Joe Meriweather,"ATL",1976,4.8,1.4
Dave Meyers,"MIL",1976,2.2,0.6
Steve Mix,"PHI",1976,6.5,1.6
Eric Money,"DET",1976,3.3,1
Earl Monroe,"NYK",1976,7.8,2.6
Otto Moore,"NOJ",1976,2.9,0.9
Allen Murphy,"LAL",1976,-0.1,-0.1
Calvin Murphy,"HOU",1976,7.7,2.5
Swen Nater,"MIL",1976,6.9,1.7
Lloyd Neal,"POR",1976,1.8,-0.1
Louie Nelson,"SAS",1976,0,0
Johnny Neumann,"TOT",1976,0,-0.8
Mike Newlin,"HOU",1976,4.7,1
Willie Norwood,"SEA",1976,3.3,0.4
Mark Olberding,"SAS",1976,4.3,0.8
Frank Oleynick,"SEA",1976,-0.2,-0.7
Tom Owens,"HOU",1976,0.9,-0.1
Joe Pace,"WSB",1976,0.1,0
Robert Parish,"GSW",1976,4.8,1.2
Sonny Parker,"GSW",1976,3,0.8
Billy Paultz,"SAS",1976,5.3,1.5
Curtis Perry,"PHO",1976,2.8,0.7
Cliff Pondexter,"CHI",1976,1.5,-0.6
Howard Porter,"DET",1976,4.1,-0.6
Kevin Porter,"DET",1976,2.7,-0.1
Jim Price,"TOT",1976,2.7,0.6
Ed Ratleff,"HOU",1976,0.5,-0.1
Clifford Ray,"GSW",1976,5.7,1.8
Kevin Restani,"MIL",1976,1.8,0.1
Mike Riordan,"WSB",1976,-0.1,-0.5
Marv Roberts,"LAL",1976,-0.2,-0.3
Truck Robinson,"TOT",1976,7.3,1.7
Bill Robinzine,"KCK",1976,3.4,0.6
Dave Robisch,"IND",1976,5,0.8
Marshall Rogers,"GSW",1976,-0.2,-0.4
Dan Roundfield,"IND",1976,3.9,0.8
Curtis Rowe,"BOS",1976,5.2,0.6
Campy Russell,"CLE",1976,5.5,2
Cazzie Russell,"LAL",1976,6.6,0.8
Fred Saunders,"BOS",1976,1.2,-0.2
Dale Schlueter,"PHO",1976,0.1,-0.1
Charlie Scott,"BOS",1976,2.5,0.9
Bruce Seals,"SEA",1976,2.4,-0.6
Phil Sellers,"DET",1976,0,-0.2
Lonnie Shelton,"NYK",1976,4.6,2.5
John Shumate,"BUF",1976,6.3,2
James Silas,"SAS",1976,0.7,0
Paul Silas,"DEN",1976,2.5,-0.2
Ralph Simpson,"DET",1976,1.2,-0.5
Al Skinner,"NYN",1976,3.3,2
Bingo Smith,"CLE",1976,4.2,0.4
Elmore Smith,"TOT",1976,2.9,0
Phil Smith,"GSW",1976,7,1.7
Randy Smith,"BUF",1976,6.4,3.8
Willie Smith,"CHI",1976,0,0
Dick Snyder,"CLE",1976,3.4,0.2
Ricky Sobers,"PHO",1976,5.3,1.7
Mike Sojourner,"ATL",1976,0.9,-0.3
Kevin Stacom,"BOS",1976,0.6,-1
Bud Stallworth,"NOJ",1976,0.4,-0.5
Keith Starr,"CHI",1976,-0.2,-0.1
Larry Steele,"POR",1976,5.2,1.5
Earl Tatum,"LAL",1976,2.6,0.9
Brian Taylor,"KCK",1976,7.9,3.6
Fatty Taylor,"DEN",1976,2.1,0.9
Ira Terrell,"PHO",1976,3.6,0.1
Chuck Terry,"NYN",1976,0.7,-0.7
Claude Terry,"TOT",1976,1,-0.2
David Thompson,"DEN",1976,10.7,3.7
Nate Thurmond,"CLE",1976,2.3,0.9
Dean Tolson,"SEA",1976,2,0.6
Rudy Tomjanovich,"HOU",1976,10.4,2.2
Monte Towe,"DEN",1976,0.1,-0.4
George Trapp,"DET",1976,0.1,-0.1
Dave Twardzik,"POR",1976,7.5,3.1
Wes Unseld,"WSB",1976,6.2,3.9
Dick Van Arsdale,"PHO",1976,2.7,-0.9
Tom Van Arsdale,"PHO",1976,1.1,-1.4
Jan van Breda Kolff,"NYN",1976,4.5,0.9
Norm Van Lier,"CHI",1976,5.5,2.3
Neal Walk,"NYK",1976,0.2,-0.1
Andy Walker,"NOJ",1976,0.7,0
Foots Walker,"CLE",1976,3,1.5
Wally Walker,"POR",1976,0.9,-0.3
Bill Walton,"POR",1976,10.2,5.1
Lloyd Walton,"MIL",1976,1.1,0
Henry Ward,"SAS",1976,-0.1,-0.3
Cornell Warner,"LAL",1976,0.3,-0.1
Kermit Washington,"LAL",1976,4.3,0.9
Richard Washington,"KCK",1976,3.2,-0.9
Slick Watts,"SEA",1976,3.3,3.2
Nick Weatherspoon,"TOT",1976,2.6,-0.7
Marvin Webster,"DEN",1976,3.9,0.6
Scott Wedman,"KCK",1976,6,1.6
Bob Weiss,"WSB",1976,1.4,0.1
Paul Westphal,"PHO",1976,9.6,4
Jo Jo White,"BOS",1976,6.5,2.4
Rudy White,"HOU",1976,0.2,-0.2
Sidney Wicks,"BOS",1976,6.1,1.9
Bob Wilkerson,"SEA",1976,0.9,-0.2
Jamaal Wilkes,"GSW",1976,7.3,2.1
Chuck Williams,"TOT",1976,0.6,-0.6
Chuckie Williams,"CLE",1976,-0.2,-0.2
Earl Williams,"NYN",1976,0,0
Gus Williams,"GSW",1976,3.6,1.1
Nate Williams,"NOJ",1976,2.8,-0.4
John Williamson,"TOT",1976,3.9,0.1
Bill Willoughby,"ATL",1976,0.9,-0.2
Bobby Wilson,"BOS",1976,-0.1,-0.3
Brian Winters,"MIL",1976,6,1.9
Willie Wise,"DEN",1976,2.5,0.2
Dave Wohl,"TOT",1976,0.2,-0.5
Larry Wright,"WSB",1976,1.4,-0.3
Zaid Abdul-Aziz,"TOT",1977,0.1,-0.1
Kareem Abdul-Jabbar,"LAL",1977,12.1,6.3
Tom Abernethy,"LAL",1977,4.1,1.2
Alvan Adams,"PHO",1977,4.9,1.9
Lucius Allen,"KCK",1977,2.1,0.2
Jim Ard,"TOT",1977,-0.1,-0.2
Tate Armstrong,"CHI",1977,0.4,-0.5
Bird Averitt,"TOT",1977,-0.7,-1.1
Dennis Awtrey,"PHO",1977,1,-0.3
Gus Bailey,"NOJ",1977,0.5,0
Greg Ballard,"WSB",1977,2,0.2
Mike Bantom,"IND",1977,5.9,2
Marvin Barnes,"TOT",1977,2,0.7
Rick Barry,"GSW",1977,9.7,3.9
Tim Bassett,"NJN",1977,1.1,0
Butch Beard,"NYK",1977,4.4,1.3
Ron Behagen,"TOT",1977,2.4,-0.2
Mel Bennett,"IND",1977,-0.1,-0.1
Kent Benson,"MIL",1977,1.7,0.3
Henry Bibby,"PHI",1977,4.7,0.6
Bob Bigelow,"TOT",1977,0,-0.1
Dave Bing,"BOS",1977,3.6,0.2
Otis Birdsong,"KCK",1977,4.2,0.5
Tom Boerwinkle,"CHI",1977,0.2,-0.1
Phil Bond,"HOU",1977,0,0
Ron Boone,"KCK",1977,2.6,0.2
Jim Bostic,"DET",1977,0.1,0
Tom Boswell,"BOS",1977,2.7,0.4
Freddie Boyd,"NOJ",1977,0.1,-0.4
Alonzo Bradley,"HOU",1977,-0.1,-0.6
Mike Bratz,"PHO",1977,0.4,-0.6
Jim Brewer,"CLE",1977,2.6,1.1
Junior Bridgeman,"MIL",1977,4,0.7
Allan Bristow,"SAS",1977,2.8,0.6
Wayman Britt,"DET",1977,0,0
Gary Brokaw,"BUF",1977,0.1,-0.1
Fred Brown,"SEA",1977,6.7,1.9
John Brown,"ATL",1977,3.7,0.8
Joe Bryant,"PHI",1977,2.2,0.4
Quinn Buckner,"MIL",1977,3.2,1.3
Ticky Burden,"NYK",1977,0,0
Tom Burleson,"KCK",1977,4.3,1.5
Don Buse,"PHO",1977,6,2
Corky Calhoun,"POR",1977,3.1,0.5
Mack Calvin,"DEN",1977,1.8,-0.5
Austin Carr,"CLE",1977,3.4,0.4
Kenny Carr,"LAL",1977,0,-0.9
M.L. Carr,"DET",1977,4.5,2
Bob Carrington,"TOT",1977,1.3,-0.3
Harvey Catchings,"PHI",1977,1.4,0.3
Don Chaney,"TOT",1977,0.3,-0.3
Ken Charles,"ATL",1977,0.6,-0.3
Phil Chenier,"WSB",1977,1.8,0
Jim Chones,"CLE",1977,6.4,1.4
Jim Cleamons,"NYK",1977,2.7,0.3
E.C. Coleman,"GSW",1977,2.7,0.6
Doug Collins,"PHI",1977,7.6,2.1
Norm Cook,"DEN",1977,0,0
Dave Cowens,"BOS",1977,10.8,5.2
Wesley Cox,"GSW",1977,0.6,-0.5
Charlie Criss,"ATL",1977,3.7,0.1
Mark Crow,"NJN",1977,0.2,-0.1
Louie Dampier,"SAS",1977,4,0.2
Bob Dandridge,"WSB",1977,6.8,2.8
Adrian Dantley,"TOT",1977,12.2,4.4
Brad Davis,"LAL",1977,0.3,-0.3
Johnny Davis,"POR",1977,4.3,0.5
Walter Davis,"PHO",1977,10.1,3.5
Darryl Dawkins,"PHI",1977,6.4,1.5
Derrek Dickey,"TOT",1977,0.3,-0.4
Coby Dietrick,"SAS",1977,2.5,0.8
Ernie DiGregorio,"TOT",1977,-0.6,-1
Jacky Dorsey,"TOT",1977,0.2,0
Leon Douglas,"DET",1977,3.6,0.3
John Drew,"ATL",1977,8.9,2.8
Charles Dudley,"GSW",1977,3.6,0.6
Mike Dunleavy,"TOT",1977,0.1,0
T.R. Dunn,"POR",1977,1.6,0.4
Jim Eakins,"TOT",1977,0.9,0.1
Al Eberhard,"DET",1977,0.9,-0.1
James Edwards,"TOT",1977,4.5,-0.6
Bo Ellis,"DEN",1977,1.1,0
Len Elmore,"IND",1977,2.1,0.6
Alex English,"MIL",1977,4,1
Julius Erving,"PHI",1977,9.1,4
Al Fleming,"SEA",1977,0,-0.1
Mike Flynn,"IND",1977,0.8,-0.3
Chris Ford,"DET",1977,3.6,1.6
Don Ford,"LAL",1977,3.5,1
Bayard Forrest,"PHO",1977,1.4,0.3
